tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 37 , 5 , 3 , 11 , 66.1% , 4063.86 , 930644 , 609628
haskell , 54 , 0 , 0 , 2 , 96.4% , 1118.42 , 942636 , 613004
lnt , 49 , 7 , 0 , 0 , 87.5% , 2094.88 , 564256 , 102208
lotos , 49 , 7 , 0 , 0 , 87.5% , 2069.27 , 564256 , 101608
maude , 49 , 4 , 0 , 3 , 87.5% , 1925.07 , 456328 , 70540
mcrl2-default , 36 , 0 , 12 , 8 , 64.3% , 4467.87 , 756760 , 385116
mcrl2-jittyc , 42 , 0 , 6 , 8 , 75.0% , 4284.33 , 864688 , 403132
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4786.33 , 786740 , 435596
opal , 52 , 0 , 4 , 0 , 92.9% , 813.59 , 954628 , 615732
rascal-compil , 33 , 0 , 0 , 23 , 58.9% , 10889.5 , 1128512 , 667844
rascal-interp , 30 , 0 , 0 , 26 , 53.6% , 9688.57 , 564256 , 102668
scala , 41 , 1 , 0 , 14 , 73.2% , 6906.53 , 1128512 , 666696
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4533.55 , 940224 , 575980
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4397.96 , 564256 , 102068
tom , 43 , 0 , 0 , 13 , 76.8% , 6169.4 , 1128512 , 667024
