test_name,real_time,max_mem
loop-add-10M.json,549.95,13888.0
ackermann32.json,0.13,19388.0
fibonacci10.json,0.03,14532.0
loop-exp-1b-1M.json,54.56,13904.0
loop-exp-4b-100k.json,5.53,14076.0
loop-divadd-10M.json,868.13,13900.0
ackermann31.json,0.02,15768.0
loop-mulmod-2M.json,138.52,14072.0
manyFunctions100.json,0.12,27920.0
loop-exp-16b-100k.json,6.52,13864.0
loop-exp-2b-100k.json,6.4,13812.0
loop-divadd-unr100-10M.json,649.15,14300.0
loop-exp-8b-100k.json,5.97,13948.0
loop-exp-32b-100k.json,6.54,13992.0
loop-exp-nop-1M.json,42.46,13768.0
loop-mul.json,141.67,13900.0
fibonacci16.json,0.55,15628.0
ackermann33.json,0.31,21868.0
