test_name,kast_real_time,kast_max_mem,user_time,sys_time,real_time,max_mem,avg_mem
fibonacci18.k,1.52,177136.0,0.02,0.0,0.03,7872.0,0.0
tak18.k,1.52,219280.0,0.11,0.0,0.11,7124.0,0.0
sieve10000.k,1.44,226548.0,213.51,0.7,214.22,1068088.0,0.0
benchexpr20.k,1.68,180456.0,16.69,0.03,16.73,107016.0,0.0
revnat1000.k,1.97,205388.0,0.31,0.04,0.36,8376.0,0.0
quicksort10.k,1.93,169944.0,0.0,0.0,0.0,6428.0,0.0
bubblesort20.k,2.05,204656.0,0.0,0.0,0.0,6100.0,0.0
fibonacci21.k,2.09,181212.0,0.02,0.0,0.03,10108.0,0.0
factorial5.k,1.92,167632.0,0.0,0.0,0.0,6128.0,0.0
sieve100.k,2.06,226144.0,0.0,0.0,0.0,8168.0,0.0
factorial7.k,2.02,200116.0,0.0,0.0,0.0,8620.0,0.0
factorial8.k,1.98,173832.0,0.01,0.02,0.04,24784.0,0.0
fibonacci19.k,2.12,187804.0,0.01,0.0,0.02,8792.0,0.0
tak36.k,2.84,201684.0,4.58,0.0,4.59,7360.0,0.0
sieve2000.k,2.79,219372.0,4.34,0.09,4.43,156092.0,0.0
benchsym20.k,2.78,188620.0,3.2,0.0,3.21,8196.0,0.0
benchsym22.k,2.93,194360.0,12.48,0.0,12.49,8180.0,0.0
bubblesort100.k,2.69,199596.0,0.02,0.0,0.02,11008.0,0.0
mergesort10.k,2.49,178896.0,0.0,0.0,0.0,5988.0,0.0
revnat100.k,2.71,182540.0,0.0,0.0,0.0,7008.0,0.0
sieve1000.k,3.22,216268.0,0.79,0.04,0.84,77300.0,0.0
natlist.k,6.41,449472.0,0.02,0.0,0.02,7836.0,0.0
merge.k,3.57,199324.0,0.0,0.0,0.0,6408.0,0.0
logic3.k,2.93,172768.0,0.0,0.0,0.0,6188.0,0.0
benchsym10.k,3.55,189216.0,0.0,0.0,0.0,8208.0,0.0
hanoi20.k,3.65,163020.0,48.42,1.28,50.3,624948.0,0.0
bubblesort10.k,5.61,152568.0,0.0,0.0,0.02,6072.0,0.0
hanoi16.k,6.13,175412.0,0.66,0.07,0.76,47924.0,0.0
benchexpr10.k,4.8,234176.0,0.01,0.0,0.01,8520.0,0.0
permutations6.k,3.57,170716.0,0.06,0.01,0.07,7488.0,0.0
hanoi8.k,4.29,190980.0,0.0,0.0,0.01,6700.0,0.0
dart.k,3.49,178392.0,0.09,0.0,0.09,13948.0,0.0
fib32.k,4.68,245128.0,29.79,0.0,30.32,7088.0,0.0
bubblesort1000.k,3.87,158812.0,15.42,0.1,15.78,68044.0,0.0
hanoi12.k,4.31,176068.0,0.05,0.01,0.06,9344.0,0.0
sieve20.k,5.97,158644.0,0.0,0.0,0.01,6324.0,0.0
factorial6.k,6.57,178452.0,0.0,0.0,0.08,6432.0,0.0
bubblesort720.k,5.18,173156.0,5.98,0.07,6.76,39340.0,0.0
fibonacci20.k,4.5,145376.0,0.06,0.01,0.09,10012.0,0.0
factorial9.k,2.93,181480.0,0.31,0.12,0.45,167852.0,0.0
binarysearch.k,2.44,173908.0,8.17,3.2,11.38,8941180.0,0.0
