test_name,user_time,sys_time,real_time,max_mem,avg_mem
mergesort100.maude,0.03,0.0,0.05,15668.0,0.0
garbagecollection.maude,0.03,0.0,0.03,15688.0,0.0
benchexpr10.maude,0.01,0.01,0.03,15696.0,0.0
mul16.maude,1.74,0.01,1.76,15704.0,0.0
evalexpr.maude,4.86,0.03,4.9,110624.0,0.0
tautologyhard.maude,0.02,0.0,0.02,15684.0,0.0
benchtree10.maude,0.02,0.0,0.03,15700.0,0.0
factorial5.maude,0.03,0.0,0.03,15652.0,0.0
mul8.maude,0.37,0.01,0.39,15620.0,0.0
logic3.maude,0.01,0.01,0.02,15688.0,0.0
bubblesort100.maude,0.02,0.0,0.03,15692.0,0.0
bubblesort10.maude,0.02,0.0,0.02,15796.0,0.0
benchsym20.maude,1.05,0.0,1.06,15652.0,0.0
permutations7.maude,0.2,0.0,0.2,19320.0,0.0
sieve10000.maude,326.1,0.07,326.39,18552.0,0.0
fibonacci19.maude,0.02,0.01,0.03,15780.0,0.0
benchexpr20.maude,1.96,0.15,2.12,384368.0,0.0
fibonacci05.maude,0.02,0.0,0.02,15744.0,0.0
factorial7.maude,0.02,0.0,0.02,15620.0,0.0
fib32.maude,12.78,0.01,12.79,15656.0,0.0
fibfree.maude,0.02,0.0,0.02,15736.0,0.0
bubblesort720.maude,1.8,0.0,1.8,15656.0,0.0
revnat100.maude,0.02,0.0,0.02,15688.0,0.0
omul8.maude,0.43,0.03,0.46,15616.0,0.0
evalsym.maude,156.12,0.0,156.13,15616.0,0.0
fibonacci20.maude,0.03,0.0,0.03,15696.0,0.0
hanoi8.maude,0.02,0.0,0.02,15744.0,0.0
bubblesort1000.maude,4.37,0.01,4.38,15732.0,0.0
oddeven.maude,0.79,0.01,0.81,15736.0,0.0
sieve1000.maude,0.61,0.0,0.62,15652.0,0.0
calls.maude,0.02,0.0,0.02,15780.0,0.0
confluence.maude,0.01,0.01,0.02,15744.0,0.0
permutations6.maude,0.02,0.0,0.03,15756.0,0.0
hanoi4.maude,0.02,0.0,0.02,15684.0,0.0
omul32.maude,6.36,0.02,6.39,15744.0,0.0
quicksort100.maude,0.03,0.0,0.03,15744.0,0.0
sieve2000.maude,3.64,0.01,3.65,15692.0,0.0
revnat10000.maude,10.07,0.05,10.12,22132.0,0.0
fibonacci18.maude,0.01,0.01,0.02,15704.0,0.0
sieve100.maude,0.02,0.0,0.03,15692.0,0.0
order.maude,0.01,0.01,0.02,15704.0,0.0
soundnessofparallelengines.maude,0.02,0.0,0.02,15704.0,0.0
tricky.maude,0.01,0.0,0.02,15780.0,0.0
tak36.maude,3.06,0.0,3.07,15692.0,0.0
add32.maude,0.67,0.01,0.68,15692.0,0.0
benchtree20.maude,5.47,0.67,6.15,2038236.0,0.0
revnat1000.maude,0.11,0.0,0.12,15796.0,0.0
maa.maude,19.88,0.03,19.91,33152.0,0.0
mergesort1000.maude,0.26,0.0,0.26,15736.0,0.0
revelt.maude,0.02,0.0,0.02,15692.0,0.0
check2.maude,0.01,0.0,0.02,15780.0,0.0
quicksort1000.maude,9.04,0.02,9.07,59648.0,0.0
add16.maude,0.35,0.02,0.38,15616.0,0.0
tak18.maude,0.06,0.0,0.06,15740.0,0.0
intnat.maude,0.07,0.01,0.08,15800.0,0.0
empty.maude,0.02,0.0,0.02,15692.0,0.0
evaltree.maude,15.76,0.25,16.02,590184.0,0.0
natlist.maude,0.1,0.0,0.11,15732.0,0.0
mergesort10.maude,0.02,0.0,0.02,15652.0,0.0
factorial6.maude,0.01,0.01,0.02,15656.0,0.0
bubblesort20.maude,0.02,0.0,0.02,15760.0,0.0
sieve20.maude,0.02,0.0,0.02,15736.0,0.0
closure.maude,0.13,0.0,0.13,15688.0,0.0
missionaries3.maude,0.01,0.0,0.02,15736.0,0.0
check1.maude,0.02,0.0,0.02,15800.0,0.0
searchinconditions.maude,0.02,0.0,0.03,15800.0,0.0
quicksort10.maude,0.02,0.0,0.02,15620.0,0.0
benchtree22.maude,21.74,1.97,23.72,7973824.0,0.0
merge.maude,0.01,0.0,0.02,15784.0,0.0
benchsym22.maude,4.45,0.0,4.46,15804.0,0.0
benchexpr22.maude,7.83,0.51,8.36,1530132.0,0.0
fibonacci21.maude,0.02,0.0,0.03,15700.0,0.0
hanoi12.maude,0.02,0.0,0.03,15760.0,0.0
mul32.maude,6.65,0.01,6.66,15736.0,0.0
binarysearch.maude,24.24,0.0,24.24,15640.0,0.0
dart.maude,0.03,0.0,0.04,18572.0,0.0
benchsym10.maude,0.02,0.0,0.03,15684.0,0.0
missionaries2.maude,0.01,0.01,0.03,15660.0,0.0
add8.maude,0.42,0.0,0.43,15784.0,0.0
